datetime,return,tcost,adjust_close,volatility_20,skewness_20,kurtosis_20
2004-12-20,0.014996872751515955,0.00011275228323371305,44.34,0.009773188763763221,-0.4464178549366307,-0.11239875784252762
2004-12-21,-0.0027100287588655014,0.00022619316896625223,44.22,0.00956363333071942,-0.3359461360622039,0.005432248417419849
2004-12-22,-0.004533099330984225,0.0003408703556414173,44.02,0.009543366573352982,-0.2155857972543506,-0.018864274024307903
2004-12-23,0.005663170645733739,0.00022583559168920528,44.27,0.009617022509837283,-0.34949132146900813,-0.041158434367644325
2004-12-27,0.004732403198277169,0.00033734397840991823,44.48,0.00955301828659475,-0.33914724415795844,0.012789607513520096
2004-12-28,-0.002476084551508606,0.00033795201081447717,44.37,0.009460843334831466,-0.23839273572976072,0.07475239315667848
2004-12-29,-0.016131214269020422,0.00011448196908984558,43.66,0.009972913707366629,-0.09940984223764004,-0.3363509035214256
2004-12-30,0.0038861633089202208,0.0003423485107839911,43.83,0.01000075110339612,-0.23604070638576669,-0.32934931687242797
2004-12-31,-0.0006846970483174175,0.0003423485107839911,43.8,0.009866694970994466,-0.16737191766341705,-0.22355867522707706
2005-01-03,-0.017968693542816272,0.0003486345148169801,43.02,0.010357985321366881,-0.19250154758302096,-0.4721115332970771
2005-01-04,-0.006529873948582399,0.00023402761525863708,42.74,0.009666431899579211,-0.1669737932407316,-0.23737988895023632
2005-01-05,-0.0016391526910930487,0.00035165865666394487,42.67,0.009563994307673742,-0.281260973283567,-0.0900889458376617
2005-01-07,-0.019643277443241125,0.00011951715071118819,41.84,0.01022850448361117,-0.1822025232160503,-0.5255778191685314
2005-01-11,0.008804340037739777,0.00011844131232971703,42.21,0.009371376510584055,-0.10153460936903713,-0.6894455415096927
2005-01-12,0.009197093480917573,0.0002346866932644452,42.6,0.009652595339088849,-0.23604013726246456,-0.8173017153510163
2005-01-13,0.0,0.00011749500646228547,42.6,0.009541830650909255,-0.35153657232154883,-0.6770352792926513
2005-01-14,-0.006594465725281218,0.000354568017964793,42.32,0.009218618567532321,-0.22111294286632507,-0.594739931999313
2005-01-18,0.0,0.0002362390739428671,42.32,0.00910730688096445,-0.3473304996809538,-0.43646409746848214
2005-01-19,-0.0014187753621333066,0.00047337278106516275,42.26,0.008718867872597846,-0.312499254725228,-0.20694308024466457
2005-01-20,-0.00023665838472775036,0.0001183291918115964,42.25,0.008647265812360482,-0.42847593297357034,-0.06071626925853657
2005-01-21,0.011530896087819098,0.00011700011700017685,42.74,0.008340929207747271,-0.6156563563171138,-0.14116548936311846
2005-01-24,0.0007016723478154852,0.00011691804045370181,42.77,0.008356215567694525,-0.6720748268881828,-0.10922811773690633
2005-01-25,-0.012469282840811058,0.00023679848448973626,42.24,0.008665599258279037,-0.5602053915660611,-0.49553051594456266
2005-01-26,0.010597061371864225,0.00011713716762326356,42.69,0.008947699696004407,-0.48215269403654165,-0.5755039633850392
