datetime,return,tcost,adjclose,adjvolume,return_volatility_20,return_skewness_20,return_kurtosis_20,adjvolume_volatility_20
1992-07-14,0.010582109330536937,0.002638522427440633,47.5,1127172.0,0.029875536894315956,-0.6227705080391982,-0.7782185849005621,926348.4413570995
1992-07-15,0.01047129986729578,0.0026109660574412533,48.0,1559898.0,0.02652432385796378,-0.7060585654471003,-0.5406903381251333,886316.2829633264
1992-07-16,0.015504186535964859,0.002570694087403599,48.75,1340184.0,0.025496585122386072,-0.9575853217524194,0.04093475915806266,879709.2893386655
1992-07-17,-0.08004270767353638,0.002770083102493075,45.0,4016439.0,0.029228137151164242,-1.3037667394994867,1.0392687330179218,890302.8789876455
1992-07-20,-0.005571045049455048,0.002785515320334262,44.75,1781777.0,0.029150293239495362,-1.3404811979097102,1.1320999673062389,775899.9342531146
1992-07-21,0.022100347000665543,0.00546448087431694,45.75,1178163.0,0.02941207410932507,-1.451202039364211,1.311502211573524,684965.5688361203
1992-07-22,-0.03333642026759165,0.0056179775280898875,44.25,1482932.0,0.029953224353605225,-1.1905522913712416,0.5955866836992332,638797.7341057555
1992-07-23,0.011236073266926105,0.0028011204481792717,44.75,1538775.0,0.02982193043553896,-1.186823937564241,0.6129260705787125,634184.816863034
1992-07-24,0.02493784754030548,0.0027247956403269754,45.88,1207499.0,0.030312020765418626,-1.2614930002786473,0.6717123818316169,639293.8276660505
1992-07-27,-0.013826622115234777,0.0027548209366391185,45.25,723159.0,0.030416151179152216,-1.2244824276672213,0.5774295045659881,654335.8173477801
1992-07-28,0.027249642447375155,0.0026954177897574125,46.5,1200623.0,0.0301499875856069,-1.2568815067336225,0.62518147559648,659200.6706235419
1992-07-29,0.01600034134644135,0.002638522427440633,47.25,2241661.0,0.029773496676767985,-1.280554633142326,0.6932222017028411,674944.9500906629
1992-07-30,0.0,0.002652519893899204,47.25,1233694.0,0.029368637474961472,-1.2482528124901322,0.7043379227506317,676142.123938368
1992-07-31,-0.010638398205055744,0.0026666666666666666,46.75,811012.0,0.02654032694508574,-1.4920077515638337,2.0504011204071144,672326.5343575174
1992-08-03,-0.02162246401316592,0.00546448087431694,45.75,613986.0,0.026977012135208592,-1.3281418784539023,1.5314681055521415,695178.7300933823
1992-08-04,-0.005479465764625324,0.0027548209366391185,45.5,1071428.0,0.025097944735009065,-1.618377836599752,3.0544683789620706,695347.4944366234
1992-08-05,-0.01662088123604022,0.0028011204481792717,44.75,1245362.0,0.024266697966624923,-1.615059184159765,3.064042481960848,692935.3600771215
1992-08-06,-0.016901810802603556,0.005714285714285714,44.0,2330767.0,0.02448669620378323,-1.4645668612553,2.611786641005045,720678.3156303929
1992-08-07,-0.014191128519532636,0.002881844380403458,43.38,2010171.0,0.024598891516111582,-1.3484145597095678,2.3217452590079075,729197.5187434542
1992-08-10,0.016914688986573445,0.0028328611898017,44.12,818767.0,0.024390283964338146,-1.3784277202829796,2.425255859672073,741515.2109285739
1992-08-11,-0.014152256290663523,0.002881844380403458,43.5,1084935.0,0.024288915805629314,-1.2565663466393096,2.2418781756008936,742566.9906552809
1992-08-12,0.014152256290663523,0.0028328611898017,44.12,1085933.0,0.024414514440633844,-1.2492516845317787,2.1819561111871746,747015.1423742543
1992-08-13,0.014178250335562748,0.002785515320334262,44.75,1529324.0,0.02436262440482949,-1.2540837434801437,2.2073355344511345,746751.2945027464
1992-08-14,0.0,0.0028011204481792717,44.75,1217594.0,0.017071684468328244,0.009986744808485569,-1.1384404641703827,462938.8068760168
1992-08-17,0.0026779752670273993,0.0028011204481792717,44.87,1152082.0,0.017038451323229994,-0.06083036056393551,-1.1219204612865998,451766.2902950236
1992-08-18,0.0,0.0028011204481792717,44.87,1004729.0,0.016277666116062666,0.01132710109010614,-0.9358362474839668,455458.0013964268
1992-08-19,-0.005587230983505442,0.00558659217877095,44.62,1539798.0,0.014550847310703075,0.27756638649135124,-1.1512095196183378,456889.84061286313
1992-08-20,0.005587230983505442,0.0056179775280898875,44.87,973214.0,0.014392044979329022,0.326812579115488,-1.0600452041622512,457689.49891896144
1992-08-21,0.0,0.0028011204481792717,44.87,979124.0,0.013221774494545882,0.37514262143354166,-0.8077480106839032,461559.2963169819
1992-08-24,-0.03400146214061728,0.002881844380403458,43.37,1360167.0,0.01482560322476364,-0.04378023197805806,-0.46913432695384216,446288.87126764376
1992-08-25,0.02572123132491999,0.0028169014084507044,44.5,1184512.0,0.014677204053002033,-0.08885590769039481,-0.5215510914280022,446437.304459652
1992-08-26,-0.0029256237813766184,0.0028169014084507044,44.37,1082405.0,0.01407096419172818,-0.00695953089651238,-0.23494394436967925,388601.9808973701
1992-08-27,0.005618623613568463,0.0028011204481792717,44.62,740681.0,0.014186553778559154,-0.05496649738363991,-0.3148058101582283,402127.8331121181
1992-08-28,0.011143418185417087,0.002785515320334262,45.12,548006.0,0.014382610183209566,-0.22626975771554148,-0.3834458454485601,418338.8729399737
1992-08-31,0.021921088211054762,0.0027100271002710027,46.12,1083593.0,0.014508481669548405,-0.32816170159752306,-0.23108812159135672,398704.95484097
1992-09-01,0.01078293820675258,0.005405405405405406,46.62,540610.0,0.014611374883139152,-0.46720994975688357,-0.2114306693767265,423423.52944659325
1992-09-02,0.04200533528036621,0.002570694087403599,48.62,1699163.0,0.01649791680936104,-0.04435630507176871,0.3567459232910579,438446.95646268036
1992-09-03,-0.015545965483559687,0.0026109660574412533,47.87,1905188.0,0.01641385579419994,-0.038339661132301965,0.3949543195734444,390694.88413039147
