datetime,return,tcost,volatility_20,skewness_20,kurtosis_20
2010-02-02,0.0031384667658445053,0.0002862049227246139,0.002951727286405572,0.14085226945180676,-0.7933410869348521
2010-02-03,-0.001045061529050706,0.00023869766553688532,0.0027780104666766444,0.26952125076714356,-0.4737400504096825
2010-02-04,-9.505977222978856e-05,0.00023869766553688532,0.002694750250250976,0.20188695471058396,-0.27841423970981394
2010-02-05,-0.00304669375933031,0.0004307662853587489,0.0027685326886479128,0.3392040547837236,-0.40115496474182377
2010-02-08,0.0009530893059848111,0.00019142419601840665,0.0027310036516980376,0.3955668026473461,-0.2450199957444843
2010-02-09,-0.0022889422562597517,9.58680855143132e-05,0.0027557062898346087,0.53883530595008,-0.21698870227107214
2010-02-10,-0.007764090809601498,0.0003382132676232941,0.0031473871264235836,0.14154658471165127,0.1511011975670451
2010-02-11,0.002306762419271635,9.64320154291033e-05,0.0031147485821177074,-0.05382325528032408,0.22034017200658162
2010-02-12,0.0011513888411149864,0.00014448779078168444,0.002998224331347594,-0.054343349153237755,0.5669370277657051
2010-02-16,0.003923939282326039,9.595087315299479e-05,0.0031552468006920444,-0.10604050421905135,0.11686888300640375
2010-02-17,-0.0033487416165716155,0.0005291768894020274,0.0032065875734813886,0.052798977574085165,-0.053524305372376624
2010-02-18,-0.000671096117806691,0.00038517091959556235,0.0032065985365324146,0.05315755589571997,-0.05353920083178165
2010-02-19,0.0035421321033579645,4.800076801231276e-05,0.003256923846927234,0.06212680997088798,-0.1563861110562237
2010-02-22,0.0005732193790075613,9.593246354564476e-05,0.0032572061252192103,-0.03071969713439391,-0.15934794296357824
2010-02-23,0.0023848835704507465,9.570293808018001e-05,0.0033141876321495047,-0.11095293202443642,-0.31561803936231625
2010-02-24,0.004278509700949229,9.529254812271785e-05,0.0034112349455355725,-0.2701654056417913,-0.4091638921751062
2010-02-25,-0.001044168712154736,0.00023833357166689142,0.0033181189434639026,-0.3445651916789594,-0.13480342963048697
2010-02-26,0.006531827382236344,0.00037918286093467765,0.003570046213718797,-0.32541034611389147,-0.290045444739381
2010-03-01,0.0012691273066831599,0.0002851982127578775,0.003319692462571062,-0.4403112462747244,-0.013260276856265296
2010-03-02,0.002071045872480859,0.00018960940462649914,0.003151793902999623,-0.64462363717994,0.6222003597368766
2010-03-03,0.002066765504786794,0.00033142370152931865,0.003117805266343555,-0.6352881318525385,0.7189057250983368
2010-03-04,0.00046912431115675446,0.00014191778229806013,0.0030955491236061812,-0.7151457161266394,0.8895221189831344
2010-03-05,-0.0012201812713197313,0.000521302307947488,0.003118952145358038,-0.6553416247389419,0.7313289294812928
2010-03-08,0.0015953223287548113,0.000283848992336088,0.00300922009490621,-0.870267414985867,1.430780928417895
2010-03-09,-0.0009381166459201395,9.464319515424958e-05,0.0030337632571668855,-0.7658309626497056,1.193706551507181
2010-03-10,0.0009381166459201395,0.00023646252069045714,0.0029528784782143613,-0.9403782480819438,1.8043632813775945
2010-03-11,-0.00037514105743507997,0.00023652963716352317,0.002215106892408503,0.255598131745398,0.10534341062507746
2010-03-12,0.0020615364467841957,0.00014156953423623774,0.00221003603734241,0.2711735046398734,0.13820348650741865
2010-03-15,-0.00018723688591393284,0.0001416096294548083,0.002232557411640867,0.33931731378112023,0.057676282619224306
2010-03-16,0.004577241616138927,0.0007055171440665607,0.0022765763460879523,0.3547513435995177,-0.05342135869176534
2010-03-17,0.003628195812058088,0.00028105677346825127,0.0020739648536654367,0.5748459119722718,-0.37620138951938253
2010-03-18,-0.0019520080084438618,0.00014071954594493708,0.0021603929230117544,0.4358823123352845,-0.4275863402494644
2010-03-19,-0.0007446255138514601,0.00018782870022542383,0.0021611455698442163,0.6355434615470262,-0.21737501150813188
2010-03-22,0.0015816669895780677,0.0001875996623205705,0.002155376435646797,0.5724893320968161,-0.24494634538923687
2010-03-23,-0.0006509717005132032,0.00014064038254184584,0.002183833452785742,0.7154920342134294,-0.18316089712029981
2010-03-24,-0.007376209850610493,0.000236440156996318,0.0027623708509359034,-0.5686995201393253,1.9147273370412083
2010-03-25,-0.0035675241767929577,0.00023706794367264308,0.0028899523058307326,-0.5077162071341268,1.216492726554585
