datetime,return,tcost,volatility_20,skewness_20,kurtosis_20
2016-07-14,0.006503342737056883,4.465681239675397e-05,0.01327478398812634,-1.544186461675643,2.764562112245783
2016-07-15,-0.001536447519018047,4.472872031133478e-05,0.013294838347858261,-1.4888150534388438,2.630562958736416
2016-07-18,0.006301465440852638,0.0,0.012983242463339515,-1.7492499043241858,3.5866585115254823
2016-07-19,-0.0034864458204415527,4.459706551311205e-05,0.013025234899562697,-1.6293879108426985,3.259656129430497
2016-07-20,0.01109725802912731,4.407422098816659e-05,0.013169967142218336,-1.6526894896151898,3.1966693398843615
2016-07-21,-0.002192735690320191,4.4175464946728385e-05,0.013167850750815632,-1.6546274757477646,3.203473119095828
2016-07-22,0.003960288088548758,4.399665625414719e-05,0.012933738153643546,-1.665492966095551,3.38535766311822
2016-07-25,8.409128315545189e-05,4.398891479349455e-05,0.008632303572649014,-0.4820651352699215,0.8121898697839738
2016-07-26,0.0010925436753224105,4.393480075570105e-05,0.006862184992473445,0.5190782700563795,-0.3959173133194902
2016-07-27,0.006613759127829688,4.364334657177544e-05,0.00588868352686693,0.2664926018061825,-0.5650259452113464
2016-07-28,0.0033321315742851354,4.348393268683265e-05,0.005168299861753459,0.10902795595483002,-0.5492525856453119
2016-07-29,0.0020769579942863103,4.338959517503755e-05,0.004903525999805078,0.23855434366735165,-0.17296588014678616
2016-08-01,0.005049746906781394,4.31648465489926e-05,0.004908019034020952,0.23043278542944387,-0.18552307143973001
2016-08-02,-0.007293048044566319,4.349528076199776e-05,0.0050515951326022025,0.08922628712693448,-0.0558111155882286
2016-08-03,0.003155797834195617,4.3351974682468964e-05,0.004943139607694421,0.1968727597172792,0.19930832360369388
2016-08-04,0.002732504799732638,0.0,0.00494333057166329,0.19931259090903683,0.199466220507015
2016-08-05,0.0091367390899606,4.281738385786819e-05,0.004412040920348653,-0.3162160205378715,-0.29670309703624653
2016-08-08,-0.0010657626511134666,8.572653236174891e-05,0.0044399415436340356,-0.13276184413697795,-0.41538399646162594
2016-08-09,0.0022122381959723825,4.276611213276789e-05,0.004405541365638968,-0.055631500068197656,-0.34991249266033453
2016-08-10,-0.0024583448110924166,4.2872454447978156e-05,0.004413096941411647,-0.0559055785499685,-0.3607565476535841
2016-08-11,0.004093890281196444,4.268943436495584e-05,0.004327836550694156,-0.018910433619642078,-0.19767193215947643
2016-08-12,0.000653469919814853,4.266393617477331e-05,0.004260479738161684,-0.06681872583287306,-0.04043673330142061
