datetime,return,tcost,adjclose,adjvolume,return_volatility_20,return_skewness_20,return_kurtosis_20,adjvolume_volatility_20
1992-12-28,0.004322609392446886,0.002124849250559953,88.1,542800.0,0.008790705038934749,0.09093997748176225,-0.7301979546336455,571817.2262838887
1992-12-29,-0.007176655510370722,0.002201367164870788,87.47,914700.0,0.009037048976958678,0.21089898630052495,-0.8670960004631794,571434.7675806924
1992-12-30,0.004221100329456995,0.0007498413797081124,87.84,688200.0,0.008851422927474031,0.09035541126912654,-0.7581595977195557,574814.8481032827
1992-12-31,-0.012832440069884044,0.0014035087719298778,86.72,674700.0,0.009384200031200846,0.17182345732395388,-0.8569620598583176,576277.6861028024
1993-01-04,0.0,0.00145985401459854,86.72,754000.0,0.008731731011061774,0.2414306876366447,-0.7062934658534452,577352.553904458
1993-01-05,0.011465385858350885,0.001447178002894356,87.72,1137400.0,0.008702776333692751,0.24221254967901149,-0.6883875927997734,578362.7998713264
1993-01-06,-0.004341375492272093,0.0006971880083662826,87.34,1027300.0,0.008817336746384062,0.33845486281971393,-0.7440547456762134,574659.9596935565
1993-01-07,-0.0027516641989580037,0.0021527898993425527,87.1,1314800.0,0.008779521158287432,0.4961602791595827,-0.6142095155431044,577942.1982127625
1993-01-08,-0.0014936522567827737,0.0015160349854226875,86.97,1223300.0,0.008737629711075617,0.6214520692327578,-0.4767987646665919,579536.2297561732
1993-01-11,-0.008661062282685705,0.00217813622181671,86.22,773200.0,0.00880707226028876,0.6058083493146137,-0.5039986811840511,579705.4600398379
1993-01-12,0.001390820808342852,0.0014117647058824064,86.34,726900.0,0.008773191913559101,0.6607486284209896,-0.42330515715943573,569139.706289238
1993-01-13,-0.004294591940978698,0.0007663738725461031,85.97,959300.0,0.008718630075505414,0.6583113551568776,-0.3946025613012152,569423.2654844725
1993-01-14,0.0015110132473319382,0.002240301851196766,86.1,1218900.0,0.008453214618403154,0.8094364348712743,0.024250204913909723,570506.9435160276
1993-01-15,-0.0030243131112417387,0.0014771048744460858,85.84,1855600.0,0.00830789456047802,0.8123120221186984,0.11800975353691534,596484.3291319563
1993-01-18,0.0,0.0014771048744460858,85.84,555700.0,0.006958235869664483,0.6763388793951859,0.33290778776846786,602584.41906508
1993-01-19,-0.005841820562588751,0.0015430267062314,85.34,855200.0,0.005758886361949065,0.3396783242938981,-0.15179271712263187,341832.9897406042
1993-01-20,-0.01773305718712237,0.0007861159823425981,83.84,1507300.0,0.006291708515568897,-0.1624348070927441,0.4873666794819633,359535.2011973237
1993-01-21,0.010441480720419172,0.0014371257485030484,84.72,1089700.0,0.006880744676243001,-0.1144902009946028,0.09961813898260408,357371.27930906817
1993-01-22,0.010333581854545137,0.00142011834319532,85.6,1312300.0,0.007277376986357436,-0.19551785975913893,-0.11092017650551611,364805.1881141495
1993-01-25,0.007216886171292458,0.0014117647058824064,86.22,906700.0,0.007487356527893926,-0.22876525306490003,-0.31754889313238754,327569.0034176005
1993-01-26,0.001390820808342852,0.0014684287812041115,86.34,1186000.0,0.007412736134406012,-0.1921168098157257,-0.23698045892933095,312126.87548495404
1993-01-27,-0.005807891804888499,0.0014771048744460858,85.84,828500.0,0.007361619352238571,-0.20848367179465752,-0.1678074932179765,314332.65102435666
1993-01-28,0.010199439368893337,0.0014035087719298778,86.72,991800.0,0.0076796430900826435,-0.1630349387330753,-0.38113114895363287,304653.52960371226
1993-01-29,0.007124010366078792,0.001451378809869376,87.34,999100.0,0.007318860447817244,-0.30910079584420797,-0.0901034395205671,292920.1111224697
1993-02-01,0.0014873293743482563,0.001451378809869376,87.47,680200.0,0.007322418764789469,-0.3389293717357347,-0.08257757683083033,297199.70457589626
1993-02-02,-0.014393708112774739,0.0014727540500736377,86.22,1182400.0,0.007539607413519047,-0.3277741977915506,-0.28880982840840774,297965.73947351734
1993-02-03,0.012906378738426483,0.001451378809869376,87.34,882800.0,0.008060753442683763,-0.33719593839692297,-0.42543222042476714,300405.92250320234
1993-02-04,0.005708429703805251,0.001443001443001443,87.84,781200.0,0.008126963687786612,-0.46604290666435183,-0.4160315217573789,299618.4498241055
1993-02-05,0.002955555180913727,0.0014388489208633094,88.1,1368300.0,0.008132346652112526,-0.5450389121357108,-0.3674024370487694,305996.0465022383
1993-02-08,-0.0014766856775505488,0.0014985590778097458,87.97,1308000.0,0.00786769518510381,-0.6572058452345393,0.014982706541471824,305486.5945913175
1993-02-09,-0.0014788695033631782,0.002191717614488381,87.84,931700.0,0.007885492153853233,-0.5997399776648401,-0.05729014326889059,297483.8891015781
1993-02-10,0.0014788695033631782,0.0014985590778097458,87.97,1039900.0,0.007796641647316501,-0.7171214243095999,0.16758080709461787,296500.78798377584
1993-02-11,-0.0042148493222375905,0.001447178002894356,87.6,842200.0,0.007882775404284776,-0.60063083988408,-0.05306000454001403,298658.9528207718
1993-02-12,-0.01587882862335732,0.0007063809748057721,86.22,736300.0,0.008659369345858696,-0.5868688543035937,-0.48695949967669083,243148.718431745
1993-02-16,-0.023469746585206508,0.0014457831325301752,84.22,1945300.0,0.010083024986552513,-0.6695288542229914,-0.502358551500524,298672.8050475972
1993-02-17,-0.005954525155982715,0.0014545454545455098,83.72,1560900.0,0.010085787010478645,-0.6677057989789863,-0.5063239868922347,312715.792853511
1993-02-18,-0.007433195716396668,0.0007322431047107917,83.1,2445400.0,0.009459621537213815,-0.7099715927122151,-0.12420298752251302,421216.6037503745
1993-02-19,0.004442584001242977,0.0015805471124619508,83.47,1791400.0,0.00920131282566819,-0.7489150857823078,0.014612188275993976,443299.8472817242
